,train_loss,train_acc,val_loss,val_acc
0,1.0500769116661766,0.6757575757575757,1.0213700660637446,0.7714285714285715
1,0.6755677656693893,0.828030303030303,0.6714607775211334,0.7678571428571429
2,0.4753970436074517,0.8643939393939394,0.6077567147357124,0.7660714285714285
3,0.35634233084591954,0.8977272727272727,0.5828722342848778,0.8428571428571429
4,0.24796227074482224,0.925,0.5558405816555023,0.8375
5,0.24813884036107497,0.9340909090909091,0.38140850527478115,0.8839285714285714
6,0.21768177138133482,0.9386363636363636,0.4979255825081574,0.8482142857142857
7,0.16373633557761258,0.9636363636363636,0.42661121825221926,0.8875000000000001
8,0.2423554631288756,0.9348484848484848,0.43919834813901354,0.8696428571428572
9,0.19723179543560201,0.95,0.2486474323751671,0.9232142857142858
10,0.1791962417350574,0.95,0.3436292285498764,0.9232142857142858
11,0.18602567823095756,0.9484848484848485,0.2354137377281274,0.9375
12,0.2609110431068323,0.9522727272727273,0.39890121871472467,0.8928571428571429
13,0.16092863584953276,0.9636363636363636,0.1965379686984566,0.9375
14,0.11957302201454613,0.975,0.33202609763819574,0.8964285714285715
15,0.1356348780301315,0.9590909090909091,0.3074093007349542,0.9196428571428571
16,0.13964315099557015,0.9590909090909091,0.2640808731583612,0.9375
17,0.11123896414752711,0.9727272727272728,0.25395850555339294,0.9553571428571429
18,0.07661871898877011,0.9886363636363636,0.1438050582489398,0.9553571428571429
19,0.07333900408014994,0.9840909090909091,0.1276204153296671,0.9553571428571429
